,rank,name,season
154,35,Saddiq Bey,2021-22
155,36,Fred VanVleet,2021-22
156,37,Jonas ValanÄiÅ«nas,2021-22
157,38,Tyrese Maxey,2021-22
158,39,Nikola VuÄeviÄ,2021-22
159,40,Jalen Brunson,2021-22
160,41,Gary Trent Jr.,2021-22
161,42,Keldon Johnson,2021-22
162,43,Jaren Jackson Jr.,2021-22
163,44,Jordan Clarkson,2021-22
164,45,Harrison Barnes,2021-22
165,46,Buddy Hield,2021-22
166,47,Reggie Jackson,2021-22
167,48,Tobias Harris,2021-22
168,49,Andrew Wiggins,2021-22
169,50,Bojan BogdanoviÄ,2021-22
170,51,Brandon Ingram,2021-22
171,52,Jrue Holiday,2021-22
172,53,Jimmy Butler,2021-22
173,54,Christian Wood,2021-22
174,55,Franz Wagner,2021-22
175,56,Tyrese Haliburton,2021-22
176,57,D'Angelo Russell,2021-22
177,58,Domantas Sabonis,2021-22
178,59,Mikal Bridges,2021-22
179,60,Jalen Green,2021-22
180,1,Jayson Tatum,2022-23
181,2,Joel Embiid,2022-23
182,3,Luka DonÄiÄ,2022-23
183,4,Shai Gilgeous-Alexander,2022-23
184,5,Giannis Antetokounmpo,2022-23
185,6,Anthony Edwards,2022-23
186,7,Julius Randle,2022-23
187,8,Donovan Mitchell,2022-23
188,9,Trae Young,2022-23
189,10,Zach LaVine,2022-23
190,11,Damian Lillard,2022-23
191,12,De'Aaron Fox,2022-23
192,13,DeMar DeRozan,2022-23
193,14,Jaylen Brown,2022-23
194,15,Pascal Siakam,2022-23
195,16,Lauri Markkanen,2022-23
196,17,Nikola JokiÄ,2022-23
197,18,Jalen Green,2022-23
198,19,Jordan Poole,2022-23
199,20,Mikal Bridges,2022-23
200,21,Stephen Curry,2022-23
201,22,Jalen Brunson,2022-23
202,23,Kyrie Irving,2022-23
203,24,Ja Morant,2022-23
204,25,LeBron James,2022-23
205,26,CJ McCollum,2022-23
206,27,Bam Adebayo,2022-23
207,28,Dejounte Murray,2022-23
208,29,Domantas Sabonis,2022-23
209,30,Klay Thompson,2022-23
210,31,Kristaps PorziÅÄ£is,2022-23
211,32,Darius Garland,2022-23
212,33,Franz Wagner,2022-23
213,34,Devin Booker,2022-23
214,35,Jimmy Butler,2022-23
215,36,Anthony Davis,2022-23
216,37,Nikola VuÄeviÄ,2022-23
217,38,Paolo Banchero,2022-23
218,39,RJ Barrett,2022-23
219,40,Keldon Johnson,2022-23
220,41,Spencer Dinwiddie,2022-23
221,42,Kevin Durant,2022-23
222,43,Kyle Kuzma,2022-23
223,44,Tyler Herro,2022-23
224,45,Buddy Hield,2022-23
225,46,Fred VanVleet,2022-23
226,47,Paul George,2022-23
227,48,Terry Rozier,2022-23
228,49,Anfernee Simons,2022-23
229,50,Bennedict Mathurin,2022-23
230,51,Jamal Murray,2022-23
231,52,Jerami Grant,2022-23
232,53,Jrue Holiday,2022-23
233,54,Evan Mobley,2022-23
234,55,Bojan BogdanoviÄ,2022-23
235,56,Jordan Clarkson,2022-23
236,57,D'Angelo Russell,2022-23
237,58,Josh Giddey,2022-23
238,59,Desmond Bane,2022-23
239,60,Kawhi Leonard,2022-23
240,1,Luka DonÄiÄ,2023-24
241,2,Shai Gilgeous-Alexander,2023-24
242,3,Giannis Antetokounmpo,2023-24
243,4,Jalen Brunson,2023-24
244,5,Nikola JokiÄ,2023-24
245,6,Anthony Edwards,2023-24
246,7,Kevin Durant,2023-24
247,8,Jayson Tatum,2023-24
248,9,De'Aaron Fox,2023-24
249,10,Stephen Curry,2023-24
250,11,DeMar DeRozan,2023-24
251,12,Anthony Davis,2023-24
252,13,Devin Booker,2023-24
253,14,LeBron James,2023-24
254,15,Tyrese Maxey,2023-24
255,16,Paolo Banchero,2023-24
256,17,Damian Lillard,2023-24
257,18,Dejounte Murray,2023-24
258,19,Pascal Siakam,2023-24
259,20,Paul George,2023-24
260,21,Kawhi Leonard,2023-24
261,22,Jaylen Brown,2023-24
262,23,Jalen Green,2023-24
263,24,Mikal Bridges,2023-24
264,25,Zion Williamson,2023-24
265,26,Domantas Sabonis,2023-24
266,27,Kyle Kuzma,2023-24
267,28,Victor Wembanyama,2023-24
268,29,Coby White,2023-24
269,30,Kyrie Irving,2023-24
270,31,Jaren Jackson Jr.,2023-24
271,32,Cam Thomas,2023-24
272,33,Donovan Mitchell,2023-24
273,34,Collin Sexton,2023-24
274,35,Miles Bridges,2023-24
275,36,Franz Wagner,2023-24
276,37,Cade Cunningham,2023-24
277,38,Tyrese Haliburton,2023-24
278,39,Trae Young,2023-24
279,40,Klay Thompson,2023-24
280,41,Nikola VuÄeviÄ,2023-24
281,42,D'Angelo Russell,2023-24
282,43,Bam Adebayo,2023-24
283,44,Chet Holmgren,2023-24
284,45,Jordan Poole,2023-24
285,46,Michael Porter Jr.,2023-24
286,47,Jalen Williams,2023-24
287,48,Joel Embiid,2023-24
288,49,Karl-Anthony Towns,2023-24
289,50,Bogdan BogdanoviÄ,2023-24
290,51,Brandon Ingram,2023-24
291,52,Alperen ÅengÃ¼n,2023-24
